City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Santa Cruz de la Sierra,-17.8,-63.1667,18.03,68,75,12.86,BO,1660058961
Mataura,-46.1927,168.8643,-3.04,96,7,0.85,NZ,1660059349
Amapá,1.0,-52.0,33.03,39,67,2.47,BR,1660059350
Thompson,55.7435,-97.8558,14.09,82,75,6.17,CA,1660059351
Khatanga,71.9667,102.5,14.03,76,77,4.94,RU,1660059353
Kaitangata,-46.2817,169.8464,-1.17,92,7,2.0,NZ,1660059354
Rikitea,-23.1203,-134.9692,23.13,77,99,7.71,PF,1660059356
Hong Kong,22.2855,114.1577,27.03,94,100,4.02,HK,1660059066
Bluff,-46.6,168.3333,1.38,83,7,2.12,NZ,1660059358
Lata,40.1629,-8.3327,28.05,53,0,4.27,PT,1660059359
Naze,28.3667,129.4833,27.51,76,44,2.73,JP,1660059361
Bambous Virieux,-20.3428,57.7575,21.14,78,75,8.23,MU,1660059362
Marsá Maţrūḩ,31.3525,27.2453,29.11,65,40,6.69,EG,1660059364
Kapaa,22.0752,-159.319,25.18,83,100,6.17,US,1660059365
Raja,8.4596,25.678,23.78,91,99,2.21,SS,1660059366
Jamestown,42.097,-79.2353,21.68,73,100,2.24,US,1660059363
Saint George,37.1041,-113.5841,32.75,35,0,0.45,US,1660059374
East London,-33.0153,27.9116,19.52,77,0,5.14,ZA,1660059375
Dhidhdhoo,6.8833,73.1,27.27,84,98,6.78,MV,1660059376
Nanortalik,60.1432,-45.2371,6.76,84,25,7.58,GL,1660059378
Geraldton,-28.7667,114.6,13.23,71,75,5.66,AU,1660059379
Castro,-24.7911,-50.0119,13.88,98,100,3.51,BR,1660059380
Tuktoyaktuk,69.4541,-133.0374,12.0,82,75,5.66,CA,1660059384
Shingū,33.7333,135.9833,26.03,92,99,2.17,JP,1660059386
Klaksvík,62.2266,-6.589,12.51,94,100,11.58,FO,1660059387
Hervey Bay,-25.2986,152.8535,13.49,76,6,4.5,AU,1660059388
Ushuaia,-54.8,-68.3,4.81,65,0,1.54,AR,1660059092
Kavaratti,10.5669,72.642,27.18,83,94,8.96,IN,1660059391
Caravelas,-17.7125,-39.2481,26.85,54,12,3.99,BR,1660059392
Mossamedes,-15.1961,12.1522,19.64,81,31,4.58,AO,1660059393
Pamanukan,-6.2842,107.8106,25.49,79,48,1.54,ID,1660059395
Arraial do Cabo,-22.9661,-42.0278,25.98,73,40,2.57,BR,1660059396
Mahébourg,-20.4081,57.7,21.16,78,75,8.23,MU,1660059398
San Cristobal,7.7669,-72.225,28.1,40,32,3.42,VE,1660059399
Tasiilaq,65.6145,-37.6368,5.09,95,100,1.72,GL,1660059400
Butaritari,3.0707,172.7902,27.56,76,29,6.91,KI,1660059402
Lakes Entrance,-37.8811,147.981,1.76,90,7,2.45,AU,1660059403
Albany,42.6001,-73.9662,25.78,82,100,3.89,US,1660059405
Mar del Plata,-38.0023,-57.5575,13.01,77,75,2.57,AR,1660059407
